New Orleans|61|Bowling Green|79
Citadel|71|Butler|144
San Diego Christian|69|Cal St. Bakersfield|93
William Jessup|68|UC-Riverside|100
Texas Southern|70|Creighton|93
UCF|85|Davidson|90
Western Mich.|63|DePaul|69
Averett|59|East Tenn. St.|107
Radford|82|Georgetown|80
Youngstown St.|70|Kent St.|79
Towson|76|La Salle|78
Summit|52|Liberty|90
Milwaukee|71|Lipscomb|65
BYU-Hawaii|57|Long Beach St.|91
Eureka|51|Loyola (IL)|84
Howard|79|Massachusetts|85
Southern Miss.|49|Memphis|67
Grambling|85|Mid-Atlantic Christian|26
Hawaii Hilo|85|Montana St.|90
Mississippi Val.|51|Nebraska|97
Greensboro|69|UNC Greensboro|86
South Dakota|65|Northern Ill.|72
Colorado St.|84|UNI|78
Fla. Gulf Coast|75|Ohio|85
Northwest Christian|52|Oregon St.|74
VMI|50|Penn St.|62
Harvard|64|Providence|76
Idaho|74|San Jose St.|54
Denver|55|Santa Clara|33
Norfolk St.|69|South Carolina|84
Merchant Marine Academy|32|Stony Brook|103
Piedmont|72|Tennessee Tech|110
Fordham|72|Texas-Arlington|77
Loyola (LA)|49|UTEP|96
West Va. Tech|65|Toledo|96
Central Ark.|81|Tulsa|98
Great Falls|60|Utah Valley|89
Alabama St.|85|Virginia Tech|82
Campbellsville|77|Western Ky.|97
Hampton|95|Winthrop|102
Cal St. Northridge|72|Wright St.|67
Fairfield|65|North Carolina|92
Vermont|79|Purdue|107
Coppin St.|68|Iowa|103
Army|75|Binghamton|60
Wake Forest|90|Bucknell|82
Portland|66|UC-Davis|79
Loyola Marymount|53|UC-Irvine|77
Robert Morris|44|Cincinnati|106
UTSA|45|Clemson|78
George Fox|64|Eastern Wash.|126
Southeast Mo. St.|65|Evansville|80
Nicholls St.|62|Florida St.|109
Coastal Caro.|63|Hawaii|74
N.C. Wesleyan|69|High Point|93
North Dakota St.|74|Illinois|80
Fort Valley St.|68|Jacksonville St.|81
St. Peter's|86|Lafayette|87
Denver|82|Lipscomb|69
La.-Monroe|56|Minnesota|67
Md.-East. Shore|55|Missouri|73
William Jewell|59|UMKC|73
St. Mary's (MN)|58|Neb.-Omaha|104
Montana St.|62|Nevada|83
New Mexico|83|New Mexico St.|74
South Ala.|70|North Carolina St.|88
Wright St.|59|Northern Ill.|65
Mt. St. Mary's|54|Ohio St.|76
Central Conn. St.|61|Penn|77
Stetson|85|Richmond|108
Howard|70|Rutgers|82
Niagara|62|St. Joseph's|73
Hartford|68|St. Louis|85
Milwaukee|71|Santa Clara|65
Sacramento St.|77|Seattle|65
Wagner|59|Seton Hall|69
Cal St. Northridge|72|South Dakota|76
Florida A&amp;M|51|Southern Ill.|81
Charleston So.|59|Stanford|93
Reinhardt|82|Troy|97
Cal Poly|83|UCLA|88
Iona|58|Valparaiso|83
UNC Asheville|81|Western Caro.|90
Hannibal-LaGrange|57|Western Ill.|94
Siena|65|Wisconsin|92
Virginia|68|George Washington|73
Baylor|67|Oregon|74
James Madison|73|West Virginia|86
Austin Peay|76|Indiana|102
La.-Lafayette|77|Miami (FL)|93
San Diego St.|76|Utah|81
Bradley|60|Arizona|90
Southeastern La.|58|Texas A&amp;M|100
Chicago St.|64|Iowa St.|106
UC-Santa Barbara|67|Cal|85
Tennessee Tech|70|Air Force|80
Hiram|30|Akron|100
Alabama St.|70|UAB|72
Belmont|74|Arizona St.|83
Lyon|37|Arkansas St.|81
Eastern Ill.|56|Ball St.|73
Northern Ariz.|81|Boise St.|101
Albany (NY)|64|Boston U.|69
Holy Cross|55|Brown|71
Lehigh|89|Canisius|98
Hiwassee|55|Chattanooga|94
Cornell|101|Colgate|98
Central St. (OH)|65|Detroit|88
New Orleans|75|Duquesne|95
Charlotte|74|East Carolina|88
FDU-Florham|70|Fairleigh Dickinson|111
N.C. A&amp;T|54|Florida|104
Texas Wesleyan|62|Fla. Gulf Coast|85
Florida Memorial|51|FIU|67
Lamar|72|Fresno St.|80
Tennessee|67|Georgia Tech|69
Nevada|75|Hawaii|76
Molloy|64|Hofstra|96
Crowley's Ridge|62|Houston Baptist|102
Dickinson State (ND)|85|Idaho St.|110
Morehead St.|66|Illinois St.|67
Schreiner|49|Incarnate Word|73
Wyoming|55|Indiana St.|70
Manchester|53|IPFW|85
Oakwood|60|Jacksonville St.|96
Columbia|71|Kansas St.|81
BYU|65|Long Beach St.|66
La Roche|65|Longwood|89
Kennesaw St.|69|LSU|91
Long Island|71|Loyola Maryland|68
IUPUI|71|Marquette|75
George Mason|60|Mercer|69
Elon|68|Michigan|88
Ga. Southern|72|Mississippi|82
Southern U.|76|Mississippi St.|72
Col. of Charleston|72|Navy|58
N.M. Highlands|45|UNLV|107
Allen|54|N.C. Central|78
Eastern Ky.|59|UNC Wilmington|78
Texas-Rio Grande Valley|84|North Florida|106
Texas College|61|North Texas|110
Louisiana State-Alexandria|99|Northwestern St.|97
Tennessee St.|67|Ohio|75
Ark.-Pine Bluff|72|Oklahoma St.|86
Buffalo|58|Old Dominion|77
San Diego Christian|49|Pepperdine|91
Pacific Lutheran|60|Portland St.|105
S.C. Upstate|73|Presbyterian|74
Manhattan|63|St. Mary's (CA)|89
Auburn Montgomery|79|Samford|94
Rice|54|San Francisco|80
Montana|61|San Jose St.|64
Campbell|57|Savannah St.|59
Oral Roberts|66|South Carolina|84
Voorhees|69|South Carolina St.|113
Weber St.|68|South Dakota St.|85
NJIT|60|South Fla.|57
Monmouth|90|Southern California|101
UMBC|53|St. John's (NY)|75
Bethune-Cookman|86|UT Martin|79
Texas-Tyler|49|Texas St.|84
Morgan St.|61|Towson|69
Drake|74|Tulane|79
Gardner-Webb|62|Vanderbilt|98
Radford|74|VCU|92
Sacred Heart|77|Yale|99
Kansas|73|Michigan St.|79
Nebraska|63|Villanova|87
Missouri|66|Xavier|78
Oklahoma|84|Memphis|78
Hartford|52|Louisville|87
Kentucky|74|Duke|63
Georgetown|71|Maryland|75
Howard Payne|56|Abilene Christian|70
Hampton|61|American|48
Furman|79|Appalachian St.|70
Colorado|91|Auburn|84
Idaho|45|Cal St. Bakersfield|68
Alma|64|Central Mich.|79
Stetson|93|Citadel|94
Malone|46|Cleveland St.|62
New Hampshire|66|Connecticut|85
UTSA|78|Creighton|103
Alabama|48|Dayton|80
Penn|60|Delaware St.|54
Green Bay|90|East Tenn. St.|103
Marian|59|Evansville|84
Warner Southern|75|Fla. Atlantic|72
Jacksonville|79|Florida St.|98
Queens (NY)|57|Fordham|76
Black Hills State|72|Grand Canyon|88
Massachusetts|69|Harvard|63
Rider|60|La Salle|73
